chembl_id,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name
CHEMBL1200382,0.4404,,0.982,29,2,0,BEPRIDIL HYDROCHLORIDE
CHEMBL1444,0.4395,71.67,0.822,22,3,0,LETROZOLE
CHEMBL766,0.4394,104.32,1.336,24,0,0,CILASTATIN
CHEMBL1148,0.4377,94.32,1.14,24,2,0,TORSEMIDE
CHEMBL1200694,0.4375,78.35,0.631,12,0,0,SEVOFLURANE
CHEMBL204656,0.4372,94.29,1.036,31,3,1,ELVITEGRAVIR
CHEMBL315795,0.4365,57.83,0.555,9,1,0,CLOMETHIAZOLE
CHEMBL1201203,0.4363,81.14,0.886,23,2,1,BENZTROPINE
CHEMBL272427,0.436,103.88,1.112,34,0,3,TAURURSODIOL
CHEMBL634,0.4358,95.5,0.948,30,2,0,ALFENTANIL
CHEMBL1235452,0.4357,36.88,0.676,8,0,0,SULFUR
CHEMBL1201303,0.4332,96.1,0.405,29,4,1,PYRVINIUM
CHEMBL5095401,0.4331,,0.842,33,3,1,IPTACOPAN HYDROCHLORIDE
CHEMBL431,0.4326,103.5,1.25,31,1,0,SPIRAPRIL
CHEMBL215303,0.4324,97.69,0.886,31,3,2,GARENOXACIN
CHEMBL671,0.4324,55.73,0.922,11,0,0,THIOTEPA
CHEMBL1515611,0.4319,75.63,0.667,11,0,0,BROMISOVALUM
CHEMBL1200949,0.4302,,0.059,9,1,0,BETAZOLE HYDROCHLORIDE
CHEMBL48582,0.429,86.5,0.671,27,2,0,SAFINAMIDE MESYLATE
CHEMBL2105648,0.4288,92.15,0.829,31,3,1,PALOVAROTENE
CHEMBL254316,0.4287,111.55,1.189,32,3,0,RALTEGRAVIR
CHEMBL266349,0.4284,90.7,0.977,31,1,0,MELAGATRAN
CHEMBL1788386,0.4272,92.5,0.78,24,0,1,TETRAMETHRIN
CHEMBL111,0.4266,101.76,0.79,30,3,0,RIMONABANT
CHEMBL3889654,0.4253,104.13,1.047,31,3,1,LAROTRECTINIB
CHEMBL4299940,0.4253,96.71,1.099,32,3,1,MITAPIVAT
CHEMBL1201001,0.4242,,0.362,9,0,0,MECHLORETHAMINE HYDROCHLORIDE
CHEMBL48449,0.4237,82.18,0.857,14,0,2,CANTHARIDIN
CHEMBL1237102,0.423,,1.021,32,2,0,LEVOCABASTINE HYDROCHLORIDE
